session_id,n_unique_categories,n_unique_models,n_clicks,avg_price_viewed,total_price_viewed,total_spend,purchase_flag,country,most_common_category,day_of_week,month,avg_spend_per_click,avg_price_per_click
78,1,1,1,33.0,33,33,1,9,3,1,4,33.0,33.0
79,2,10,10,37.4,374,2100,1,29,4,1,4,210.0,37.4
80,2,2,2,38.0,76,109,1,29,3,1,4,54.5,38.0
81,1,4,5,46.6,233,1222,1,29,2,1,4,244.4,46.6
82,4,7,7,45.57142857142857,319,1903,1,29,3,1,4,271.85714285714283,45.57142857142857
83,2,7,8,42.375,339,1727,1,29,4,1,4,215.875,42.375
84,2,4,4,52.5,210,526,1,9,2,1,4,131.5,52.5
85,1,1,1,28.0,28,28,1,24,3,1,4,28.0,28.0
86,3,10,10,37.0,370,3183,1,24,2,1,4,318.3,37.0
87,2,4,4,44.0,176,418,1,41,1,1,4,104.5,44.0
88,2,4,4,41.75,167,635,1,29,3,1,4,158.75,41.75
89,1,1,1,50.0,50,50,1,29,3,1,4,50.0,50.0
90,1,1,1,38.0,38,38,1,29,4,1,4,38.0,38.0
91,3,4,4,47.75,191,648,1,29,3,1,4,162.0,47.75
92,1,1,1,38.0,38,38,1,24,1,1,4,38.0,38.0
94,3,9,9,44.44444444444444,400,3028,1,29,4,1,4,336.44444444444446,44.44444444444444
95,1,2,2,48.0,96,144,1,9,3,1,4,72.0,48.0
96,3,5,5,48.4,242,698,1,9,2,1,4,139.6,48.4
97,1,1,1,43.0,43,43,1,21,4,1,4,43.0,43.0
98,1,1,1,28.0,28,28,1,21,3,1,4,28.0,28.0
99,2,8,9,46.55555555555556,419,2054,1,29,2,1,4,228.22222222222223,46.55555555555556
100,3,10,10,37.5,375,2383,1,29,3,1,4,238.3,37.5
101,1,1,1,57.0,57,57,1,29,2,1,4,57.0,57.0
102,3,3,4,41.75,167,440,1,29,3,1,4,110.0,41.75
103,1,2,3,38.0,114,228,1,9,1,1,4,76.0,38.0
104,1,3,3,60.333333333333336,181,347,1,29,2,1,4,115.66666666666667,60.333333333333336
105,1,1,1,67.0,67,134,1,29,2,1,4,134.0,67.0
106,1,2,2,51.5,103,141,1,29,4,1,4,70.5,51.5
107,4,18,20,37.15,743,9550,1,29,4,1,4,477.5,37.15
108,1,2,2,38.0,76,266,1,29,4,1,4,133.0,38.0
109,2,3,3,47.666666666666664,143,434,1,29,1,1,4,144.66666666666666,47.666666666666664
110,1,4,4,40.5,162,1002,1,29,4,1,4,250.5,40.5
111,1,1,1,62.0,62,62,1,29,2,1,4,62.0,62.0
112,3,6,6,44.333333333333336,266,1046,1,29,2,1,4,174.33333333333334,44.333333333333336
113,3,6,7,49.0,343,2077,1,24,2,1,4,296.7142857142857,49.0
114,1,2,2,38.0,76,172,1,24,1,1,4,86.0,38.0
115,2,2,2,35.5,71,109,1,9,1,1,4,54.5,35.5
116,1,2,2,50.0,100,162,1,9,1,1,4,81.0,50.0
118,1,1,1,38.0,38,38,1,29,1,1,4,38.0,38.0
119,3,8,8,47.0,376,2344,1,9,1,1,4,293.0,47.0
120,2,5,6,53.833333333333336,323,1352,1,9,2,1,4,225.33333333333334,53.833333333333336
121,3,6,8,36.75,294,1338,1,29,1,1,4,167.25,36.75
122,2,3,3,39.666666666666664,119,233,1,29,1,1,4,77.66666666666667,39.666666666666664
123,2,7,7,35.857142857142854,251,1027,1,29,4,1,4,146.71428571428572,35.857142857142854
124,4,7,7,44.0,308,1315,1,29,1,1,4,187.85714285714286,44.0
125,4,33,34,46.294117647058826,1574,28285,1,29,2,1,4,831.9117647058823,46.294117647058826
126,1,2,2,38.0,76,104,1,29,3,1,4,52.0,38.0
127,2,4,5,40.4,202,784,1,29,1,1,4,156.8,40.4
128,1,1,1,28.0,28,28,1,29,3,1,4,28.0,28.0
130,1,4,4,39.25,157,496,1,29,4,1,4,124.0,39.25
131,1,2,2,40.5,81,195,1,29,3,1,4,97.5,40.5
132,3,5,5,48.4,242,890,1,29,1,1,4,178.0,48.4
133,1,4,4,56.0,224,558,1,29,2,1,4,139.5,56.0
134,1,1,1,43.0,43,43,1,29,1,1,4,43.0,43.0
135,2,4,4,36.75,147,370,1,29,4,1,4,92.5,36.75
136,1,1,1,62.0,62,62,1,29,1,1,4,62.0,62.0
137,1,3,3,41.333333333333336,124,253,1,29,1,1,4,84.33333333333333,41.333333333333336
138,2,8,12,46.75,561,3977,1,29,1,1,4,331.4166666666667,46.75
139,3,5,6,51.666666666666664,310,982,1,29,4,1,4,163.66666666666666,51.666666666666664
140,2,2,2,35.5,71,127,1,29,1,1,4,63.5,35.5
141,2,4,4,34.25,137,365,1,29,1,1,4,91.25,34.25
142,1,1,1,28.0,28,56,1,29,4,1,4,56.0,28.0
143,2,4,4,45.25,181,423,1,29,3,1,4,105.75,45.25
144,1,2,2,38.0,76,190,1,29,4,1,4,95.0,38.0
145,2,3,3,61.333333333333336,184,406,1,29,1,1,4,135.33333333333334,61.333333333333336
146,3,8,12,49.333333333333336,592,6537,1,29,1,1,4,544.75,49.333333333333336
147,1,1,1,38.0,38,38,1,29,4,1,4,38.0,38.0
148,1,5,5,49.6,248,911,1,29,2,1,4,182.2,49.6
149,2,4,4,40.5,162,405,1,29,1,1,4,101.25,40.5
151,1,1,1,23.0,23,23,1,29,3,1,4,23.0,23.0
152,2,4,4,40.5,162,430,1,29,3,1,4,107.5,40.5
153,4,5,6,37.333333333333336,224,672,1,29,3,1,4,112.0,37.333333333333336
154,2,3,3,54.0,162,334,1,29,2,1,4,111.33333333333333,54.0
155,1,2,2,47.5,95,157,1,29,1,1,4,78.5,47.5
157,4,21,22,40.31818181818182,887,13623,1,29,4,1,4,619.2272727272727,40.31818181818182
158,1,1,1,38.0,38,38,1,29,2,1,4,38.0,38.0
159,2,2,2,47.5,95,128,1,29,1,1,4,64.0,47.5
160,1,3,3,43.0,129,263,1,29,4,1,4,87.66666666666667,43.0
161,1,1,1,33.0,33,33,1,29,3,1,4,33.0,33.0
162,1,3,4,31.75,127,589,1,29,3,1,4,147.25,31.75
163,1,3,3,36.333333333333336,109,203,1,29,3,1,4,67.66666666666667,36.333333333333336
164,1,2,2,35.5,71,99,1,29,1,1,4,49.5,35.5
165,2,4,4,49.75,199,535,1,29,2,1,4,133.75,49.75
166,1,1,1,38.0,38,38,1,29,2,1,4,38.0,38.0
167,1,3,3,41.333333333333336,124,364,1,44,3,1,4,121.33333333333333,41.333333333333336
168,2,25,33,43.21212121212121,1426,33215,1,34,3,1,4,1006.5151515151515,43.21212121212121
169,1,1,1,67.0,67,67,1,29,2,1,4,67.0,67.0
170,2,8,8,48.125,385,2181,1,29,1,1,4,272.625,48.125
171,2,5,6,47.0,282,1149,1,29,3,1,4,191.5,47.0
172,1,3,3,55.666666666666664,167,707,1,29,2,1,4,235.66666666666666,55.666666666666664
173,3,18,21,45.19047619047619,949,13543,1,29,2,1,4,644.9047619047619,45.19047619047619
174,1,7,10,40.0,400,3115,1,29,4,1,4,311.5,40.0
175,1,1,1,57.0,57,57,1,29,2,1,4,57.0,57.0
176,1,1,1,67.0,67,67,1,29,2,1,4,67.0,67.0
177,2,3,3,41.333333333333336,124,238,1,29,1,1,4,79.33333333333333,41.333333333333336
179,1,3,3,57.0,171,347,1,29,2,1,4,115.66666666666667,57.0
180,1,1,1,33.0,33,33,1,29,1,1,4,33.0,33.0
181,4,10,11,43.36363636363637,477,3239,1,29,3,1,4,294.45454545454544,43.36363636363637
182,1,7,8,33.0,264,1239,1,29,4,1,4,154.875,33.0
183,3,16,16,47.0,752,7377,1,29,1,1,4,461.0625,47.0
184,3,36,36,40.52777777777778,1459,29836,1,29,1,1,4,828.7777777777778,40.52777777777778
185,1,1,1,28.0,28,56,1,29,4,1,4,56.0,28.0
186,2,7,7,32.142857142857146,225,1460,1,29,3,1,4,208.57142857142858,32.142857142857146
187,2,8,8,35.5,284,1396,1,29,3,1,4,174.5,35.5
188,2,12,15,45.06666666666667,676,5617,1,29,1,1,4,374.46666666666664,45.06666666666667
189,1,1,1,38.0,38,38,1,29,1,1,4,38.0,38.0
190,2,4,4,34.75,139,420,1,29,3,1,4,105.0,34.75
191,1,1,1,57.0,57,57,1,29,3,1,4,57.0,57.0
192,3,15,15,50.4,756,7398,1,29,1,1,4,493.2,50.4
193,2,5,5,43.8,219,853,1,29,3,1,4,170.6,43.8
194,3,9,9,36.888888888888886,332,2100,1,29,3,1,4,233.33333333333334,36.888888888888886
195,3,5,5,37.0,185,869,1,29,4,1,4,173.8,37.0
196,3,26,27,41.407407407407405,1118,16276,1,29,3,1,4,602.8148148148148,41.407407407407405
197,3,6,6,45.166666666666664,271,1081,1,9,1,1,4,180.16666666666666,45.166666666666664
198,3,5,5,46.8,234,677,1,29,2,1,4,135.4,46.8
199,1,1,1,48.0,48,48,1,29,3,1,4,48.0,48.0
200,2,6,6,42.333333333333336,254,842,1,29,1,1,4,140.33333333333334,42.333333333333336
201,4,19,22,39.04545454545455,859,12457,1,29,3,1,4,566.2272727272727,39.04545454545455
202,1,3,3,57.0,171,431,1,29,2,1,4,143.66666666666666,57.0
203,1,2,2,38.0,76,190,1,29,2,1,4,95.0,38.0
204,1,1,1,28.0,28,28,1,29,3,1,4,28.0,28.0
205,1,2,2,47.5,95,152,1,29,2,1,4,76.0,47.5
206,2,8,8,47.0,376,2022,1,29,2,1,4,252.75,47.0
207,4,9,10,41.4,414,2379,1,29,3,1,4,237.9,41.4
208,1,1,1,38.0,38,38,1,29,1,1,4,38.0,38.0
209,1,1,1,62.0,62,62,1,29,1,1,4,62.0,62.0
210,2,8,8,40.25,322,1829,1,29,1,1,4,228.625,40.25
211,3,15,15,43.733333333333334,656,6689,1,29,1,1,4,445.93333333333334,43.733333333333334
212,3,16,20,36.75,735,8657,1,29,4,1,4,432.85,36.75
213,4,8,9,47.0,423,2379,1,29,1,1,4,264.3333333333333,47.0
214,1,3,5,50.4,252,848,1,29,2,1,4,169.6,50.4
215,2,3,4,39.25,157,625,1,29,2,1,4,156.25,39.25
216,1,5,5,47.2,236,902,1,29,1,1,4,180.4,47.2
217,1,6,6,49.166666666666664,295,1147,1,29,1,1,4,191.16666666666666,49.166666666666664
218,1,6,9,35.0,315,1981,1,29,3,1,4,220.11111111111111,35.0
219,1,2,2,40.5,81,119,1,29,4,1,4,59.5,40.5
220,4,18,25,47.52,1188,19721,1,29,1,1,4,788.84,47.52
221,1,1,1,48.0,48,96,1,29,3,1,4,96.0,48.0
222,3,7,7,42.857142857142854,300,1745,1,29,1,1,4,249.28571428571428,42.857142857142854
225,1,6,6,37.0,222,787,1,29,3,1,4,131.16666666666666,37.0
226,2,4,4,44.0,176,453,1,29,2,1,4,113.25,44.0
227,1,1,1,52.0,52,52,1,29,2,1,4,52.0,52.0
228,2,2,2,38.0,76,109,1,29,1,1,4,54.5,38.0
229,1,8,8,55.375,443,2517,1,29,1,1,4,314.625,55.375
230,2,8,9,49.55555555555556,446,2313,1,29,2,1,4,257.0,49.55555555555556
231,2,7,7,37.0,259,1213,1,29,3,1,4,173.28571428571428,37.0
232,4,6,6,45.0,270,1175,1,29,2,1,4,195.83333333333334,45.0
233,2,5,5,34.0,170,553,1,29,1,1,4,110.6,34.0
234,2,8,8,40.125,321,1343,1,29,3,1,4,167.875,40.125
235,2,3,3,34.666666666666664,104,223,1,29,3,1,4,74.33333333333333,34.666666666666664
236,3,9,11,39.18181818181818,431,3012,1,29,2,1,4,273.8181818181818,39.18181818181818
237,1,1,1,62.0,62,62,1,29,1,1,4,62.0,62.0
238,3,4,4,47.75,191,516,1,29,4,1,4,129.0,47.75
239,3,24,26,39.92307692307692,1038,18223,1,29,4,1,4,700.8846153846154,39.92307692307692
240,2,3,3,46.0,138,290,1,29,2,1,4,96.66666666666667,46.0
241,1,1,1,38.0,38,38,1,29,1,1,4,38.0,38.0
242,2,8,8,46.375,371,1655,1,29,2,1,4,206.875,46.375
243,1,1,1,28.0,28,28,1,29,4,1,4,28.0,28.0
244,2,10,11,48.63636363636363,535,4266,1,29,1,1,4,387.8181818181818,48.63636363636363
245,2,2,2,43.0,86,134,1,29,2,1,4,67.0,43.0
246,1,1,1,57.0,57,57,1,29,2,1,4,57.0,57.0
247,2,15,15,40.666666666666664,610,5150,1,29,3,1,4,343.3333333333333,40.666666666666664
248,4,9,9,40.55555555555556,365,1835,1,29,2,1,4,203.88888888888889,40.55555555555556
249,1,3,3,36.333333333333336,109,233,1,29,4,1,4,77.66666666666667,36.333333333333336
250,2,7,9,47.77777777777778,430,2384,1,28,1,1,4,264.8888888888889,47.77777777777778
251,1,2,2,62.0,124,181,1,29,2,1,4,90.5,62.0
252,1,1,1,62.0,62,62,1,29,2,1,4,62.0,62.0
253,3,13,16,47.6875,763,9403,1,9,1,1,4,587.6875,47.6875
254,1,15,15,47.2,708,5903,1,29,1,1,4,393.53333333333336,47.2
255,1,1,1,28.0,28,56,1,29,3,1,4,56.0,28.0
256,1,2,2,54.5,109,166,1,29,3,1,4,83.0,54.5
257,3,5,5,41.0,205,1196,1,24,1,1,4,239.2,41.0
258,1,2,2,59.5,119,171,1,24,2,1,4,85.5,59.5
261,2,10,10,50.0,500,3520,1,29,2,1,4,352.0,50.0
262,2,11,11,44.0,484,3080,1,29,4,1,4,280.0,44.0
263,1,1,1,62.0,62,124,1,29,1,1,4,124.0,62.0
264,1,9,9,35.77777777777778,322,2240,1,29,4,1,4,248.88888888888889,35.77777777777778
266,2,5,5,39.0,195,585,1,29,4,1,4,117.0,39.0
267,3,10,12,41.583333333333336,499,4174,1,29,4,1,4,347.8333333333333,41.583333333333336
268,2,3,3,36.333333333333336,109,291,1,29,4,1,4,97.0,36.333333333333336
269,1,1,1,43.0,43,86,1,29,2,1,4,86.0,43.0
270,2,3,5,44.8,224,1120,1,29,4,1,4,224.0,44.8
271,2,3,3,39.666666666666664,119,377,1,29,1,1,4,125.66666666666667,39.666666666666664
272,1,1,1,43.0,43,43,1,9,1,1,4,43.0,43.0
273,4,13,16,46.625,746,6441,1,29,2,1,4,402.5625,46.625
274,1,1,1,82.0,82,82,1,29,1,1,4,82.0,82.0
275,3,11,14,45.214285714285715,633,5724,1,29,2,1,4,408.85714285714283,45.214285714285715
276,2,4,4,41.5,166,486,1,29,4,1,4,121.5,41.5
277,4,20,20,40.35,807,12183,1,29,4,1,4,609.15,40.35
278,2,12,14,49.785714285714285,697,7015,1,29,1,1,4,501.07142857142856,49.785714285714285
279,3,9,18,38.94444444444444,701,8082,1,29,4,1,4,449.0,38.94444444444444
281,1,9,9,50.111111111111114,451,2691,1,29,2,1,4,299.0,50.111111111111114
282,2,4,5,48.6,243,791,1,29,4,1,4,158.2,48.6
283,2,2,2,40.5,81,114,1,29,1,1,4,57.0,40.5
285,1,1,1,57.0,57,57,1,29,2,1,4,57.0,57.0
286,2,2,2,40.5,81,119,1,29,1,1,4,59.5,40.5
287,3,10,11,45.81818181818182,504,3233,1,29,3,1,4,293.90909090909093,45.81818181818182
288,2,2,2,62.0,124,191,1,29,2,1,4,95.5,62.0
289,3,3,3,51.0,153,287,1,29,1,1,4,95.66666666666667,51.0
290,1,4,4,29.25,117,313,1,29,4,1,4,78.25,29.25
291,3,4,5,34.0,170,587,1,29,4,1,4,117.4,34.0
292,3,33,39,43.1025641025641,1681,38079,1,29,3,1,4,976.3846153846154,43.1025641025641
293,1,1,1,55.0,55,55,1,29,3,1,4,55.0,55.0
294,2,3,3,46.0,138,424,1,29,2,1,4,141.33333333333334,46.0
295,3,6,7,31.142857142857142,218,1317,1,29,1,1,4,188.14285714285714,31.142857142857142
296,2,4,5,38.0,190,866,1,29,4,1,4,173.2,38.0
297,1,1,1,48.0,48,48,1,29,3,1,4,48.0,48.0
298,1,1,1,38.0,38,38,1,29,4,1,4,38.0,38.0
299,2,3,3,50.666666666666664,152,422,1,29,2,1,4,140.66666666666666,50.666666666666664
300,1,1,1,62.0,62,186,1,29,1,1,4,186.0,62.0
301,4,8,8,31.75,254,1620,1,29,1,1,4,202.5,31.75
302,1,1,2,23.0,46,69,1,29,4,1,4,34.5,23.0
303,1,1,1,18.0,18,18,1,29,3,1,4,18.0,18.0
304,2,6,6,45.833333333333336,275,1111,1,29,2,1,4,185.16666666666666,45.833333333333336
305,3,11,11,44.0,484,3233,1,29,2,1,4,293.90909090909093,44.0
306,1,4,4,41.75,167,420,1,29,4,1,4,105.0,41.75
307,3,7,7,42.0,294,1454,1,9,2,1,4,207.71428571428572,42.0
308,1,1,1,33.0,33,33,1,29,4,1,4,33.0,33.0
309,1,1,1,38.0,38,38,1,29,1,1,4,38.0,38.0
310,1,7,7,52.285714285714285,366,1889,1,29,2,1,4,269.85714285714283,52.285714285714285
311,1,1,1,52.0,52,52,1,29,2,1,4,52.0,52.0
312,2,3,3,38.0,114,238,1,46,4,1,4,79.33333333333333,38.0
313,1,1,1,62.0,62,62,1,29,1,1,4,62.0,62.0
314,3,9,9,47.44444444444444,427,3052,1,44,4,1,4,339.1111111111111,47.44444444444444
316,2,5,5,36.6,183,534,1,29,3,1,4,106.8,36.6
317,1,1,1,28.0,28,28,1,29,1,1,4,28.0,28.0
318,1,1,1,48.0,48,48,1,29,4,1,4,48.0,48.0
319,1,2,2,40.5,81,114,1,29,3,1,4,57.0,40.5
320,4,6,7,42.857142857142854,300,1722,1,29,4,1,4,246.0,42.857142857142854
321,4,22,23,43.34782608695652,997,12097,1,29,4,1,4,525.9565217391304,43.34782608695652
323,1,1,1,33.0,33,33,1,29,1,1,4,33.0,33.0
324,2,6,6,39.833333333333336,239,931,1,29,2,1,4,155.16666666666666,39.833333333333336
325,3,9,10,43.7,437,2795,1,29,1,1,4,279.5,43.7
326,4,8,8,42.125,337,1859,1,29,3,1,4,232.375,42.125
327,2,12,12,39.083333333333336,469,3636,1,29,1,1,4,303.0,39.083333333333336
328,2,3,3,59.0,177,383,1,29,1,1,4,127.66666666666667,59.0
329,2,3,3,52.0,156,396,1,29,3,1,4,132.0,52.0
330,4,6,6,43.5,261,1073,1,29,1,1,4,178.83333333333334,43.5
331,2,6,6,40.333333333333336,242,1095,1,29,4,1,4,182.5,40.333333333333336
332,2,11,11,44.72727272727273,492,3384,1,29,3,1,4,307.6363636363636,44.72727272727273
333,1,3,3,65.33333333333333,196,392,1,29,2,1,4,130.66666666666666,65.33333333333333
334,2,4,4,38.25,153,605,1,29,3,1,4,151.25,38.25
335,2,7,7,45.57142857142857,319,1251,1,29,4,1,4,178.71428571428572,45.57142857142857
336,3,6,6,44.0,264,1129,1,29,3,1,4,188.16666666666666,44.0
337,2,7,7,50.285714285714285,352,1455,1,9,1,1,4,207.85714285714286,50.285714285714285
338,1,1,1,52.0,52,52,1,9,2,1,4,52.0,52.0
339,2,3,3,57.333333333333336,172,411,1,29,2,1,4,137.0,57.333333333333336
340,1,3,3,57.333333333333336,172,320,1,9,2,1,4,106.66666666666667,57.333333333333336
341,2,10,11,44.63636363636363,491,3627,1,29,1,1,4,329.72727272727275,44.63636363636363
342,3,18,28,39.17857142857143,1097,18721,1,29,4,1,4,668.6071428571429,39.17857142857143
343,1,4,4,36.75,147,497,1,29,4,1,4,124.25,36.75
344,2,4,4,52.5,210,510,1,9,3,1,4,127.5,52.5
345,2,5,7,39.42857142857143,276,1266,1,29,3,1,4,180.85714285714286,39.42857142857143
347,2,2,3,57.333333333333336,172,516,1,29,1,1,4,172.0,57.333333333333336
348,3,8,8,36.125,289,1263,1,29,4,1,4,157.875,36.125
349,1,1,1,28.0,28,28,1,29,1,1,4,28.0,28.0
350,2,3,3,36.0,108,335,1,29,4,1,4,111.66666666666667,36.0
351,1,1,1,43.0,43,43,1,44,1,1,4,43.0,43.0
352,1,1,1,57.0,57,57,1,29,2,1,4,57.0,57.0
353,2,2,2,40.5,81,119,1,44,2,1,4,59.5,40.5
354,1,1,1,43.0,43,43,1,44,4,1,4,43.0,43.0
355,2,6,6,50.333333333333336,302,1080,1,29,1,1,4,180.0,50.333333333333336
356,2,2,3,39.666666666666664,119,238,1,29,4,1,4,79.33333333333333,39.666666666666664
357,1,4,4,35.5,142,477,1,29,4,1,4,119.25,35.5
358,2,5,5,35.0,175,766,1,29,1,1,4,153.2,35.0
359,1,1,1,28.0,28,28,1,29,1,1,4,28.0,28.0
360,3,17,18,44.72222222222222,805,11200,1,29,3,1,4,622.2222222222222,44.72222222222222
361,1,1,1,43.0,43,43,1,29,1,1,4,43.0,43.0
362,1,2,2,35.5,71,109,1,29,4,1,4,54.5,35.5
363,2,6,6,45.333333333333336,272,993,1,29,1,1,4,165.5,45.333333333333336
364,2,3,3,42.666666666666664,128,570,1,29,1,1,4,190.0,42.666666666666664
365,2,8,8,38.5,308,1720,1,29,4,1,4,215.0,38.5
366,2,5,5,44.6,223,910,1,29,2,1,4,182.0,44.6
367,1,4,4,58.5,234,583,1,29,2,1,4,145.75,58.5
368,1,1,1,38.0,38,38,1,29,1,1,4,38.0,38.0
369,2,3,4,46.0,184,459,1,29,1,1,4,114.75,46.0
370,1,7,8,34.25,274,1454,1,29,4,1,4,181.75,34.25
371,2,5,5,41.8,209,544,1,29,4,1,4,108.8,41.8
372,1,5,5,57.2,286,1087,1,29,2,1,4,217.4,57.2
373,1,1,1,28.0,28,28,1,29,4,1,4,28.0,28.0
374,1,1,1,57.0,57,114,1,29,2,1,4,114.0,57.0
375,4,9,10,48.6,486,3513,1,29,1,1,4,351.3,48.6
376,2,3,3,41.333333333333336,124,248,1,29,2,1,4,82.66666666666667,41.333333333333336
377,3,4,4,35.5,142,330,1,29,4,1,4,82.5,35.5
378,1,1,1,38.0,38,76,1,29,4,1,4,76.0,38.0
379,1,1,1,38.0,38,38,1,15,1,1,4,38.0,38.0
380,2,7,7,42.714285714285715,299,1374,1,9,1,1,4,196.28571428571428,42.714285714285715
381,3,7,7,39.57142857142857,277,1362,1,29,3,1,4,194.57142857142858,39.57142857142857
382,3,20,21,46.333333333333336,973,10688,1,24,3,1,4,508.95238095238096,46.333333333333336
